Category,Bug Name,Where,Inject / Issue,Test / Exploit,Fix Hint,Verified,Points
Functional,Cart count desync,js/header.js,Off-by-one when displaying count (count - 1),Add 2 items; badge shows 1,Use derived count from cart array length / sum of quantities,,
Functional,Price rounding error,js/products.js,Use parseInt instead of parseFloat on unit price,Item 19.99 totals as 19,Keep prices as floats; format only for UI,,
Functional,Quantity update skips zero,js/products.js,Decrement blocked at qty >= 1 instead of > 1,Can’t reduce 2 → 1,Use if (qty > 1) qty--;,,
Functional,Duplicate product rows,js/products.js,"Always push new product, don’t merge",Add same item twice; two rows,Merge by product id; adjust quantity,,
Functional,Misapplied coupon,js/products.js,Apply discount twice,10% coupon yields ~19% off,Apply once to base subtotal,,
Functional,Broken “Clear cart”,js/header.js/cart module,Clear array but not localStorage,Reload → items reappear,Sync localStorage after mutation,,
Functional,Search misses last item,js/products.js,Loop ends at i < arr.length - 1,Final product never shows,Use proper loop boundary or for…of,,
Functional,Wrong category filter,js/products.js,Compare category object to string slug,Clicking category shows zero products,Normalize to slug string,,
Functional,Broken pagination,js/products.js,start = page * size (off-by-one),Page 1 skips first items,start = (page-1)*size,,
Functional,Countdown never stops,js/countdown.js,Interval never cleared at ≤0,Counter goes negative,clearInterval(timer) + clamp to 0,,
Functional,Sticky header flicker,js/header.js,Toggle mismatch >= vs >,Header flickers on scroll,Use consistent threshold / debounce,,
Functional,Slider “Next” skips items,js/slider.js,Double increment index += 2,Next jumps 2 slides,"Single increment, modulo length",,
Functional,Featured buttons wrong target,js/featured.js,Scroll to #products only,Discover → top grid only,Use data-id for card scroll,,
Functional,FAQ toggle one-way,js/faqs.js,"Only add active, never remove",Can’t close FAQ,Use toggle/remove logic,,
Functional,Year in footer frozen,js/global.js,Hardcoded year,Always 2023,Use new Date().getFullYear(),,
Functional,Missing debounce on add-btn,js/products.js,Rapid clicks spam cart,Double click → qty jumps,Add debounce / disable temporarily,,
Security,Reflected DOM XSS in search,js/products.js,innerHTML = userInput,Search <img src=x onerror=alert(1)>,Use textContent / sanitize,,
Security,Stored XSS in reviews,reviews array render,Save raw comment with script,<script>alert(1)</script> persists,Escape before render / strip tags,,
Security,Product title HTML injection,product JSON render,Product name with <svg onload=alert(1)>,Malicious JSON modifies DOM,Sanitize JSON data,,
Security,Insecure fetch over HTTP,js/products.js,Change https:// to http://,MITM injects content,Force HTTPS only,,
Security,CSRF-like add-to-cart,query param add=ID,Auto-add cart from URL,Visiting link silently adds items,Require explicit user click,,
Security,LocalStorage trust,load cart from LS,No validation of stored JSON,Tamper DevTools → negative prices,Validate schema + clamp,,
Security,Weak coupon validation,js/products.js,Accept coupon if length > 0,Any string gives discount,Check against signed list,,
Security,Open redirect,continue shopping link,Redirect param unsanitized,?next=https://evil.tld,Allow same-origin only,,
Security,Mixed content images,product images JSON,http:// links,"HTTPS broken, MITM risk",Force HTTPS / host locally,,
Security,Prototype pollution,Object.assign merge,Untrusted proto keys,Inject modifies global prototype,Filter keys / safe merge,,
Security,HTML injection in toasts,global toast component,innerHTML with user strings,Coupon “hack” renders HTML,Use textContent,,
Security,Clickjacking,no X-Frame-Options,Site embeddable in iframe,Evil overlay hijacks clicks,Add CSP frame-ancestors 'none',,
Security,Weak pseudo-auth,login demo isAdmin in LS,Flip flag in DevTools,Becomes admin without auth,Don’t rely on LS; mock securely,,
Security,Sensitive data in source,config.js,API key hardcoded,Extract API_KEY_DEMO,Don’t commit keys,,
Security,IDOR fetch orders,fetch /data/orders/ID.json,ID param directly used,Change ORDER_ID to another user,Restrict access; remove demo feature,,
Security,Service worker cache poison,sw.js caches *,Overly broad cache,Poison HTML/JSON,Narrow cache + validate,,
Hidden,Negative qty edge case,qty input,Allow -1 manual input,Total becomes negative,Clamp qty ≥ 1,,
Hidden,Floating-point drift,totals math,Use floats instead of cents,0.1+0.2=0.3000004 shows,Store cents as ints,,
Hidden,Fetch race condition,category switch,"Last finished fetch renders, not latest",Rapid switch → wrong products,Track request tokens,,
Hidden,Timezone bug in countdown,new Date(…) no TZ,Different TZ show diff expiry,Users see inconsistent countdown,Use ISO + Z or local safe compute,,
Hidden,Case-sensitive search,term.includes(),No lowercasing,“shoe” fails; “Shoe” works,Normalize toLowerCase,,
Hidden,Truncated names double cut,CSS + JS substring,Double truncation,Product names over-truncated,Only 1 truncation,,
Hidden,Memory leak on rebind,re-render events,Event listeners not removed,Many duplicate listeners over time,Use delegation / cleanup,,
Hidden,Stale related products,featured.js cache,"Cached once, never recomputed",Related list stuck,Recalculate on filter change,,
Hidden,Scroll-to null element,querySelector('#card-id'),May be missing,JS error in console,Null-check before scroll,,
Hidden,Wrong currency symbol,format price hardcoded,Always “₹”,Non-IN locales mislabeled,Use Intl.NumberFormat,,
Hidden,Accessibility regression,div used as button,No keyboard activation,Tab users can’t click,Use with role,,
Hidden,Broken back navigation,filters don’t push state,Browser back goes wrong,Filters reset unexpectedly,Use history.pushState/popstate,,
Hidden,Discount rounding bias,Math.floor on discount,Undercharges consistently,Totals slightly off,Apply consistent rounding,,
Hidden,Out-of-stock still purchasable,add-to-cart logic,UI disables button only,Programmatic add works,Enforce check in logic,,
Hidden,Category slug mismatch,human vs slug,Compare “Women’s Wear” vs womens-wear,Category filter fails,Normalize slug,,
Hidden,Persisted filters stuck,localStorage filter,Old filter persists after reload,All products hidden next session,Validate stored filter,,